locus	normal.female1	normal.female2	normal.female3	normal.female4	normal.female5	normal.male1	normal.male2	normal.male3	normal.male4	normal.male5
1:1-100	-0.153611444850414	-0.689128721420935	-0.636590796406715	-0.435711385749184	-0.079973325917955	0.377420972686067	0.417720347763677	-0.105223243604838	-0.0384298480046689	-0.190336246591329
1:501-600	0.135901080740096	0.218111168404904	-0.485400814408634	0.253109717164902	0.18056015649442	-0.308214597802787	-0.293753346711413	0.321219739312976	-0.322482972358998	0.37476962383176
1:1001-1100	-0.211450380162181	-0.0211621131691659	0.36077328469662	0.722014983353127	-0.347879249610741	0.138144299778075	0.202895528932424	-0.00365246455679886	-0.11581539315847	0.0476505470917147
1:1501-1600	-0.057037247200516	-0.249793604512284	0.177982880287452	0.429306554624453	0.381375992089952	-0.243106831035256	-0.12765212937077	-0.233795235224656	-0.319616386154033	0.265242464543631
1:2001-2100	0.499232302890968	-0.388014589587431	0.324656201241532	0.474607521259627	0.0990501906131261	0.116714202123333	-0.110288877976822	0.4707200663212	0.0833927730546045	-0.0579325733016641
1:2501-2600	0.0533437387814539	-0.133392349693669	-0.156599209696527	0.154185360086816	-0.0546037684423549	-0.279119516593281	-0.180729728299411	-0.154381124259033	-0.0408897513455228	0.0882029305951228
1:3001-3100	-0.168698143539085	-0.358375400175497	-0.102364077579818	-0.300185411458922	0.362065341733035	0.288428098903397	0.238369066999694	0.492871732614765	-0.0107241447590879	0.522651342391785
1:3501-3600	-0.35126043234868	-0.014709617491322	0.0837370813124031	-0.756297290598966	-0.452281657006507	0.420323688231753	-0.379991812228517	0.189346323672896	-0.528055995614216	-0.347181478104155
1:4001-4100	-0.83715127987061	-0.132620859438122	-0.124817809488416	-0.211967946705952	-0.245463192548765	0.102370964253023	-0.0133712821345067	0.0835146939185849	0.0257065717957625	0.133087141139663
1:4501-4600	0.248291509040027	-0.284573828251855	-0.382190538390917	0.0821083765633951	-0.296036054276261	0.24430165299333	-0.00820905609859149	-0.196061169415522	-0.0380558749432171	-0.567066263616826
1:5001-5100	0.222014168322671	-0.146676602205802	0.188686118651308	-0.205897575938908	-0.166936268634374	0.498322754961991	-0.462206344503902	-0.487765948468334	-0.178062130872158	-0.260343085760597
1:5501-5600	-0.103162929110608	0.0524393942382016	0.250487664552514	0.0494501946771435	-0.286641848536436	-0.530648137701312	-0.301641245424095	-0.371260112051278	0.0445269044328217	0.209054428835254
1:6001-6100	-0.0652239047948461	-0.00389183843972548	-0.553197805852349	0.0790794706928761	-0.00230787925112608	0.046081778607447	0.116554777763542	-0.166640893206158	0.415756308656456	-0.30013487078641
1:6501-6600	-0.648284242086166	0.0021313130292508	-0.13998434171451	0.310407256814525	-0.12098713645257	-0.00435716901842854	-0.192525228082366	-0.194691720666166	-0.0996655259345984	0.102086336017231
1:7001-7100	-0.303605857692712	0.00515238481984115	-0.0964036224138545	-0.0346179879625032	-0.107436652056139	0.0843585014306788	-0.332322391935259	-0.564480487444892	-0.039082136344159	-0.678616341514579
1:7501-7600	0.0278147090755695	0.20112910023978	-0.82181018128218	0.0758780214347239	-0.294133075038007	-0.0446007444907986	0.130344734963356	-0.0577627510278569	0.473659646207477	-0.375793678310453
1:8001-8100	0.155953935321888	-0.573541780118577	0.324694271862433	0.0336154257740054	-0.195651853430403	0.516346500297974	-0.121684490364893	0.363007079960317	0.24923778089434	0.236422750145501
1:8501-8600	0.182916031231413	0.791450693679671	-0.23636858667197	0.27453604313637	0.0888750203991906	-0.330220650852386	-0.514169723043144	0.0341842929032001	0.139884984607847	-0.19197841930399
1:9001-9100	0.243472572707002	0.175339133978059	-0.678399903372024	0.156504432577832	0.204411874518949	-0.172102001185382	-0.266118848677361	0.0233540452219509	0.0796312146985954	-0.195578736220946
1:9501-9600	0.0346100132993066	-0.113659243805552	0.391140123501314	-0.695235277827342	0.259450146284486	-0.181361281552835	-0.132174965379182	0.0983291330198085	-0.197077890956828	0.102953196274346
1:10001-10100	-0.069772209999437	-0.26513373333089	-0.0802263794761124	-0.129660034288037	0.581118891858314	0.0698762440676842	-0.489203553129967	-0.053080930658783	-0.144989429930687	0.364522430213602
1:10501-10600	-0.209613325520882	0.467763362010209	0.445261840280243	0.755308400787251	-0.230932928462028	0.108679701183538	0.544726573808945	-0.06705762601275	-0.0436844874874421	0.162973694570579
1:11001-11100	0.300032930007865	-0.0954947976545582	-0.0873697704426409	0.135495050498927	0.00050917899712652	0.019300235438531	-0.338074802778375	-0.236087336434022	0.489923650101491	-0.766952272801223
1:11501-11600	-0.109282740710066	-0.113928305815755	-0.0115487839130649	0.050443956663558	0.177471364709131	-0.304119549808798	0.228743159328377	-0.0800708118912106	0.10570595733502	0.00875917327906661
1:12001-12100	0.274414255616029	-0.440355143679738	0.22270455158787	0.122577023170996	0.171184667514962	-0.0114770162291022	-0.0842840142031432	0.597293478612463	0.689263159082637	0.240835159967104
